Athlete,Country,Gold,Silver,Bronze,Total,year
Wilfried Lorenz,Germany,0,1,0,1,1964
Ulrich Mense,East Germany,0,1,0,1,1964
Tony Morgan,Great Britain,0,1,0,1,1964
Keith Musto,Great Britain,0,1,0,1,1964
Dick Stearns,United States,0,1,0,1,1964
Sture Stork,Sweden,0,1,0,1,1964
Lars Thörn,Sweden,0,1,0,1,1964
Lindsay Williams,United States,0,1,0,1,1964
Michele Mason-Brown,Australia,0,1,0,1,1964
Bill Crothers,Canada,0,1,0,1,1964
Enrique Figuerola,Cuba,0,1,0,1,1964
Maryvonne Dupureur,France,0,1,0,1,1964
Robbie Brightwell,Great Britain,0,1,0,1,1964
Tim Graham,Great Britain,0,1,0,1,1964
Basil Heatley,Great Britain,0,1,0,1,1964
Maurice Herriott,Great Britain,0,1,0,1,1964
Adrian Metcalfe,Great Britain,0,1,0,1,1964
Paul Nihill,Great Britain,0,1,0,1,1964
Renate Boy-Garisch-Culmberger,East Germany,0,1,0,1,1964
Ingrid Lotz,East Germany,0,1,0,1,1964
Dieter Lindner,East Germany,0,1,0,1,1964
Harald Norpoth,Germany,0,1,0,1,1964
Wolfgang Reinhardt,Germany,0,1,0,1,1964
Márta Antal-Rudas,Hungary,0,1,0,1,1964
Gergely Kulcsár,Hungary,0,1,0,1,1964
Gyula Zsivótzky,Hungary,0,1,0,1,1964
Marian Dudziak,Poland,0,1,0,1,1964
Marian Foik,Poland,0,1,0,1,1964
Wiesław Maniak,Poland,0,1,0,1,1964
Andrzej Zieliński,Poland,0,1,0,1,1964
Ludvík Daněk,Czech Republic,0,1,0,1,1964
Josef Odložil,Czech Republic,0,1,0,1,1964
Mohamad Gammoudi,Tunisia,0,1,0,1,1964
Rein Aun,Estonia,0,1,0,1,1964
Oleg Fedoseyev,Russian Federation,0,1,0,1,1964
Marilyn White,United States,0,1,0,1,1964
Willye White,United States,0,1,0,1,1964
Ralph Boston,United States,0,1,0,1,1964
Blaine Lindgren,United States,0,1,0,1,1964
Randy Matson,United States,0,1,0,1,1964
John Thomas,United States,0,1,0,1,1964
Aurel Vernescu,Romania,0,0,2,2,1964
Sergey Filatov,Russian Federation,0,0,2,2,1964
Fritz Ligges,Germany,0,0,2,2,1964
Daniel Revenu,France,0,0,2,2,1964
David Dickson,Australia,0,0,2,2,1964
Allan Wood,Australia,0,0,2,2,1964
Svetlana Babanina,Soviet Union,0,0,2,2,1964
Edwin Roberts,Trinidad and Tobago,0,0,2,2,1964
Aleksandar Nikolov,Bulgaria,0,0,1,1,1964
Pertti Purhonen,Finland,0,0,1,1,1964
Heinz Schulz,East Germany,0,0,1,1,1964
Eddie Blay,Ghana,0,0,1,1,1964
Jim McCourt,Ireland,0,0,1,1,1964
Silvano Bertini,Italy,0,0,1,1,1964
Giuseppe Ros,Italy,0,0,1,1,1964
Franco Valle,Italy,0,0,1,1,1964
Juan Fabila,Mexico,0,0,1,1,1964
Nojim Maiyegun,Nigeria,0,0,1,1,1964
Wlamir Marques,Brazil,0,0,1,1,1964
Edson Bispo,Brazil,0,0,1,1,1964
Fritz,Brazil,0,0,1,1,1964
Rosa Branca,Brazil,0,0,1,1,1964
Macarrão,Brazil,0,0,1,1,1964
Mosquito,Brazil,0,0,1,1,1964
Edvar Simões,Brazil,0,0,1,1,1964
Victor Mirshauswka,Brazil,0,0,1,1,1964
Amaury,Brazil,0,0,1,1,1964
Bira,Brazil,0,0,1,1,1964
Sucar,Brazil,0,0,1,1,1964
Jatyr,Brazil,0,0,1,1,1964
Józef Grzesiak,Poland,0,0,1,1,1964
Zbigniew Pietrzykowski,Poland,0,0,1,1,1964
Tadeusz Walasek,Poland,0,0,1,1,1964
Habib Galhia,Tunisia,0,0,1,1,1964
Vadim Yemelyanov,Russian Federation,0,0,1,1,1964
Stanislav Sorokin,Russian Federation,0,0,1,1,1964
Washington Rodríguez,Uruguay,0,0,1,1,1964
Charlie Brown,United States,0,0,1,1,1964
Bob Carmody,United States,0,0,1,1,1964
Ronnie Harris,United States,0,0,1,1,1964
Peer Norrbohm,Denmark,0,0,1,1,1964
John Rungsted Sørensen,Denmark,0,0,1,1,1964
Heinz Büker,Germany,0,0,1,1,1964
Cornelia Sideri,Romania,0,0,1,1,1964
Simion Cuciuc,Romania,0,0,1,1,1964
Atanasie Sciotnic,Romania,0,0,1,1,1964
Mihai Țurcaș,Romania,0,0,1,1,1964
Yevgeny Penyayev,Russian Federation,0,0,1,1,1964
Marcia Jones Smoke,United States,0,0,1,1,1964
Piero D'Inzeo,Italy,0,0,1,1,1964
Raimondo D'Inzeo,Italy,0,0,1,1,1964
Karl-Heinz Fuhrmann,East Germany,0,0,1,1,1964
Ivan Kalita,Russian Federation,0,0,1,1,1964
Horst Karsten,Germany,0,0,1,1,1964
Ivan Kizimov,Russian Federation,0,0,1,1,1964
Graziano Mancinelli,Italy,0,0,1,1,1964
Peter Robeson,Great Britain,0,0,1,1,1964
Gerhard Schulz,East Germany,0,0,1,1,1964
Henk Cornelisse,Netherlands,0,0,1,1,1964
Erik Pettersson,Sweden,0,0,1,1,1964
Gösta Pettersson,Sweden,0,0,1,1,1964
Sture Pettersson,Sweden,0,0,1,1,1964
Willi Fuggerer,Germany,0,0,1,1,1964
Walter Godefroot,Belgium,0,0,1,1,1964
Sven Hamrin,Sweden,0,0,1,1,1964
Preben Isaksson,Denmark,0,0,1,1,1964
Klaus Kobusch,Germany,0,0,1,1,1964
Gerard Koel,Netherlands,0,0,1,1,1964
Daniel Morelon,France,0,0,1,1,1964
Jaap Oudkerk,Netherlands,0,0,1,1,1964
Cor Schuuring,Netherlands,0,0,1,1,1964
Pierre Trentin,France,0,0,1,1,1964
Mervyn Crossman,Australia,0,0,1,1,1964
Paul Dearing,Australia,0,0,1,1,1964
Ray Evans,Australia,0,0,1,1,1964
Brian Glencross,Australia,0,0,1,1,1964
Robin Hodder,Australia,0,0,1,1,1964
John McBryde,Australia,0,0,1,1,1964
Don McWatters,Australia,0,0,1,1,1964
Patrick Nilan,Australia,0,0,1,1,1964
Eric Pearce,Australia,0,0,1,1,1964
Julian Pearce,Australia,0,0,1,1,1964
Desmond Piper,Australia,0,0,1,1,1964
Don Smart,Australia,0,0,1,1,1964
Tony Waters,Australia,0,0,1,1,1964
Graham Wood,Australia,0,0,1,1,1964
Heidi Schmid,Germany,0,0,1,1,1964
Gundi Theuerkauff,Germany,0,0,1,1,1964
Romi Weiß-Scherberger,Germany,0,0,1,1,1964
Antonella Ragno-Lonzi,Italy,0,0,1,1,1964
Claude Bourquard,France,0,0,1,1,1964
Claude Brodin,France,0,0,1,1,1964
Jacques Brodin,France,0,0,1,1,1964
Jacky Courtillat,France,0,0,1,1,1964
Yves Dreyfus,France,0,0,1,1,1964
Jack Guittet,France,0,0,1,1,1964
Christian Noël,France,0,0,1,1,1964
Pierre Rodocanachi,France,0,0,1,1,1964
Emil Ochyra,Poland,0,0,1,1,1964
Jerzy Pawłowski,Poland,0,0,1,1,1964
Andrzej Piątkowski,Poland,0,0,1,1,1964
Wojciech Zabłocki,Poland,0,0,1,1,1964
Ryszard Zub,Poland,0,0,1,1,1964
Guram Kostava,Georgia,0,0,1,1,1964
Wolfgang Barthels,East Germany,0,0,1,1,1964
Bernd Bauchspieß,East Germany,0,0,1,1,1964
Dieter Engelhardt,East Germany,0,0,1,1,1964
Henning Frenzel,East Germany,0,0,1,1,1964
Otto Fräßdorf,East Germany,0,0,1,1,1964
Manfred Geisler,East Germany,0,0,1,1,1964
Jürgen Heinsch,East Germany,0,0,1,1,1964
Gerhard Körner,East Germany,0,0,1,1,1964
Klaus Lisiewicz,East Germany,0,0,1,1,1964
Jürgen Nöldner,East Germany,0,0,1,1,1964
Herbert Pankau,East Germany,0,0,1,1,1964
Peter Rock,East Germany,0,0,1,1,1964
Klaus-Dieter Seehaus,East Germany,0,0,1,1,1964
Hermann Stöcker,East Germany,0,0,1,1,1964
Werner Unger,East Germany,0,0,1,1,1964
Klaus Urbanczyk,East Germany,0,0,1,1,1964
Eberhard Vogel,East Germany,0,0,1,1,1964
Manfred Walter,East Germany,0,0,1,1,1964
Horst Weigang,East Germany,0,0,1,1,1964
Anikó Ducza-Jánosi,Hungary,0,0,1,1,1964
Ginko Abukawa-Chiba,Japan,0,0,1,1,1964
Taniko Nakamura-Mitsukuri,Japan,0,0,1,1,1964
Kiyoko Ono,Japan,0,0,1,1,1964
Toshiko Shirasu-Aihara,Japan,0,0,1,1,1964
Keiko Tanaka-Ikeda,Japan,0,0,1,1,1964
Hiroko Tsuji,Japan,0,0,1,1,1964
Hannu Rantakari,Finland,0,0,1,1,1964
Siegfried Fülle,East Germany,0,0,1,1,1964
Erwin Koppe,East Germany,0,0,1,1,1964
Klaus Köste,East Germany,0,0,1,1,1964
Peter Weber,East Germany,0,0,1,1,1964
Philipp Fürst,Germany,0,0,1,1,1964
Günter Lyhs,Germany,0,0,1,1,1964
Ārons Boguļubovs,Latvia,0,0,1,1,1964
Ted Boronovskis,Australia,0,0,1,1,1964
Jim Bregman,United States,0,0,1,1,1964
Klaus Glahn,Germany,0,0,1,1,1964
Anzor K'ik'nadze,Georgia,0,0,1,1,1964
Kim Ui-Tae,Republic of Korea,0,0,1,1,1964
Oleg Stepanov,Russian Federation,0,0,1,1,1964
Parnaoz Chik'viladze,Georgia,0,0,1,1,1964
Imre Nagy,Hungary,0,0,1,1,1964
Ottó Török,Hungary,0,0,1,1,1964
Wolfgang Hottenrott,Germany,0,0,1,1,1964
Michael Schwan,Germany,0,0,1,1,1964
Jan-Just Bos,Netherlands,0,0,1,1,1964
Erik Hartsuiker,Netherlands,0,0,1,1,1964
Marius Klumperbeek,Netherlands,0,0,1,1,1964
Lex Mullink,Netherlands,0,0,1,1,1964
Herman Rouwé,Netherlands,0,0,1,1,1964
Bobbie van der Graaf,Netherlands,0,0,1,1,1964
Freek van de Graaff,Netherlands,0,0,1,1,1964
Jan van de Graaff,Netherlands,0,0,1,1,1964
Göpf Kottmann,Switzerland,0,0,1,1,1964
Vladimír Andrs,Czech Republic,0,0,1,1,1964
Petr Čermák,Czech Republic,0,0,1,1,1964
Pavel Hofmann,Czech Republic,0,0,1,1,1964
Bohumil Janoušek,Czech Republic,0,0,1,1,1964
Miroslav Koníček,Czech Republic,0,0,1,1,1964
Jiří Lundák,Czech Republic,0,0,1,1,1964
Jan Mrvík,Czech Republic,0,0,1,1,1964
Richard Nový,Czech Republic,0,0,1,1,1964
Luděk Pojezný,Czech Republic,0,0,1,1,1964
Július Toček,Czechoslovakia,0,0,1,1,1964
Josef Věntus,Czech Republic,0,0,1,1,1964
Phil Durbrow,United States,0,0,1,1,1964
Dick Lyon,United States,0,0,1,1,1964
Ted Mittet,United States,0,0,1,1,1964
Ted Nash,United States,0,0,1,1,1964
Geoffrey Picard,United States,0,0,1,1,1964
Yoshihisa Yoshikawa,Japan,0,0,1,1,1964
Lubomír Nácovský,Czech Republic,0,0,1,1,1964
Martin Gunnarsson,United States,0,0,1,1,1964
Bill Morris,United States,0,0,1,1,1964
Tommy Pool,United States,0,0,1,1,1964
Peter Doak,Australia,0,0,1,1,1964
Peter Reynolds,Australia,0,0,1,1,1964
John Ryan,Australia,0,0,1,1,1964
Makoto Fukui,Japan,0,0,1,1,1964
Kunihiro Iwasaki,Japan,0,0,1,1,1964
Yukiaki Okabe,Japan,0,0,1,1,1964
Toshio Shoji,Japan,0,0,1,1,1964
Toos Beumer,Netherlands,0,0,1,1,1964
Pauline van der Wildt,Netherlands,0,0,1,1,1964
Winnie van Weerdenburg,Netherlands,0,0,1,1,1964
Galina Alekseyeva,Russian Federation,0,0,1,1,1964
Tatyana Devyatova,Soviet Union,0,0,1,1,1964
Tatyana Savelyeva,Russian Federation,0,0,1,1,1964
Nataliya Ustinova,Soviet Union,0,0,1,1,1964
Martha Randall,United States,0,0,1,1,1964
Terri Lee Stickles,United States,0,0,1,1,1964
Patsy Willard,United States,0,0,1,1,1964
Larry Andreasen,United States,0,0,1,1,1964
Bob Bennett,United States,0,0,1,1,1964
Tom Gompf,United States,0,0,1,1,1964
Chet Jastremski,United States,0,0,1,1,1964
Yutaka Demachi,Japan,0,0,1,1,1964
Naohiro Ikeda,Japan,0,0,1,1,1964
Toshiaki Kosedo,Japan,0,0,1,1,1964
Tsutomu Koyama,Japan,0,0,1,1,1964
Masayuki Minami,Japan,0,0,1,1,1964
Teruhisa Moriyama,Japan,0,0,1,1,1964
Katsutoshi Nekoda,Japan,0,0,1,1,1964
Yasutaka Sato,Japan,0,0,1,1,1964
Sadatoshi Sugawara,Japan,0,0,1,1,1964
Krystyna Czajkowska-Rawska,Poland,0,0,1,1,1964
Maria Golimowska,Poland,0,0,1,1,1964
Krystyna Jakubowska,Poland,0,0,1,1,1964
Danuta Kordaczuk,Poland,0,0,1,1,1964
Krystyna Krupa,Poland,0,0,1,1,1964
Józefa Ledwig,Poland,0,0,1,1,1964
Jadwiga Marko-Książek,Poland,0,0,1,1,1964
Jadwiga Rutkowska,Poland,0,0,1,1,1964
Maria Śliwka,Poland,0,0,1,1,1964
Zofia Szcześniewska,Poland,0,0,1,1,1964
Viktor Ageyev,Russian Federation,0,0,1,1,1964
Zenon Bortkevich,Azerbaijan,0,0,1,1,1964
Igor Grabovsky,Russian Federation,0,0,1,1,1964
Boris Grishin,Russian Federation,0,0,1,1,1964
Eduard Yegorov,Russian Federation,0,0,1,1,1964
Nikolay Kalashnikov,Russian Federation,0,0,1,1,1964
Nikolay Kuznetsov,Azerbaijan,0,0,1,1,1964
Vladimir Kuznetsov,Russian Federation,0,0,1,1,1964
Leonid Osipov,Russian Federation,0,0,1,1,1964
Boris Popov,Russian Federation,0,0,1,1,1964
Vladimir Semyonov,Russian Federation,0,0,1,1,1964
Győző Veres,Hungary,0,0,1,1,1964
Shiro Ichinoseki,Japan,0,0,1,1,1964
Masashi Ohuchi,Japan,0,0,1,1,1964
Mieczysław Nowak,Poland,0,0,1,1,1964
Ireneusz Paliński,Poland,0,0,1,1,1964
Marian Zieliński,Poland,0,0,1,1,1964
Norb Schemansky,United States,0,0,1,1,1964
Said Mustafov,Bulgaria,0,0,1,1,1964
Lothar Metz,East Germany,0,0,1,1,1964
Wilfried Dietrich,Germany,0,0,1,1,1964
Heinz Kiehl,Germany,0,0,1,1,1964
Sayed Ali Akbar Haydari,Islamic Republic of Iran,0,0,1,1,1964
Mohammad Ali Sanatkaran,Islamic Republic of Iran,0,0,1,1,1964
Iwao Horiuchi,Japan,0,0,1,1,1964
Ion Cernea,Romania,0,0,1,1,1964
Dumitru Pîrvulescu,Romania,0,0,1,1,1964
Bertil Nyström,Sweden,0,0,1,1,1964
Hamit Kaplan,Turkey,0,0,1,1,1964
Davit Gvantseladze,Georgia,0,0,1,1,1964
Aydın İbrahimov,Azerbaijan,0,0,1,1,1964
Nodar Khokhashvili,Georgia,0,0,1,1,1964
Dan Brand,United States,0,0,1,1,1964
Branko Martinović,Serbia,0,0,1,1,1964
Joe Batchelder,United States,0,0,1,1,1964
Bill Bentsen,United States,0,0,1,1,1964
Dick Deaver,United States,0,0,1,1,1964
Don McNamara,United States,0,0,1,1,1964
"Buddy Melges, Jr.",United States,0,0,1,1,1964
Lowell North,United States,0,0,1,1,1964
Pelle Petterson,Sweden,0,0,1,1,1964
Charlie Rogers,United States,0,0,1,1,1964
Frank Scully,United States,0,0,1,1,1964
Holger Sundström,Sweden,0,0,1,1,1964
Henning Wind,Denmark,0,0,1,1,1964
Judy Amoore-Pollock,Australia,0,0,1,1,1964
Marilyn Black,Australia,0,0,1,1,1964
Pam Kilborn-Ryan,Australia,0,0,1,1,1964
Ron Clarke,Australia,0,0,1,1,1964
Harry Jerome,Canada,0,0,1,1,1964
Jocelyn Delecour,France,0,0,1,1,1964
Paul Genevay,France,0,0,1,1,1964
Bernard Laidebeur,France,0,0,1,1,1964
Claude Piquemal,France,0,0,1,1,1964
Daphne Arden,Great Britain,0,0,1,1,1964
Dorothy Hyman,Great Britain,0,0,1,1,1964
Janet Simpson,Great Britain,0,0,1,1,1964
Uwe Beyer,Germany,0,0,1,1,1964
Klaus Lehnertz,Germany,0,0,1,1,1964
Hans-Joachim Walde,Germany,0,0,1,1,1964
Vilmos Varjú,Hungary,0,0,1,1,1964
Salvatore Morale,Italy,0,0,1,1,1964
Kokichi Tsuburaya,Japan,0,0,1,1,1964
Wilson Kiprugut,Kenya,0,0,1,1,1964
Marise Chamberlain,New Zealand,0,0,1,1,1964
John Davies,New Zealand,0,0,1,1,1964
Andrzej Badeński,Poland,0,0,1,1,1964
Lia Manoliu,Romania,0,0,1,1,1964
Ingvar Pettersson,Sweden,0,0,1,1,1964
Kent Bernard,Trinidad and Tobago,0,0,1,1,1964
Edwin Skinner,Trinidad and Tobago,0,0,1,1,1964
Galina Bystrova,Azerbaijan,0,0,1,1,1964
Taisiya Chenchik,Russian Federation,0,0,1,1,1964
Yelena Gorchakova,Russian Federation,0,0,1,1,1964
Tatyana Shchelkanova,Russian Federation,0,0,1,1,1964
Galina Zybina,Russian Federation,0,0,1,1,1964
Ivan Belyayev,Soviet Union,0,0,1,1,1964
Vladimir Golubnichy,Soviet Union,0,0,1,1,1964
Viktor Kravchenko,Russian Federation,0,0,1,1,1964
Jānis Lūsis,Latvia,0,0,1,1,1964
Anatoly Mikhaylov,Russian Federation,0,0,1,1,1964
Igor Ter-Ovanesyan,Russian Federation,0,0,1,1,1964
Bill Dellinger,United States,0,0,1,1,1964
John Rambo,United States,0,0,1,1,1964
Dave Weill,United States,0,0,1,1,1964
Věra Čáslavská,Czech Republic,4,2,0,6,1968
Akinori Nakayama,Japan,4,1,1,6,1968
Charlie Hickcox,United States,3,1,0,4,1968
Sawao Kato,Japan,3,0,1,4,1968
Debbie Meyer,United States,3,0,0,3,1968
Mikhail Voronin,Russian Federation,2,4,1,7,1968
Sue Pedersen,United States,2,2,0,4,1968
Mike Wenden,Australia,2,1,1,4,1968
Jan Henne,United States,2,1,1,4,1968
Mark Spitz,United States,2,1,1,4,1968
Roland Matthes,East Germany,2,1,0,3,1968
Ken Walsh,United States,2,1,0,3,1968
Nataliya Kuchinskaya,Russian Federation,2,0,2,4,1968
Pierre Trentin,France,2,0,1,3,1968
Larisa Petrik,Belarus,2,0,1,3,1968
Kaye Hall,United States,2,0,1,3,1968
Daniel Morelon,France,2,0,0,2,1968
Yelena Novikova-Belova,Belarus,2,0,0,2,1968
Győző Kulcsár,Hungary,2,0,0,2,1968
Claudia Kolb,United States,2,0,0,2,1968
Mike Burton,United States,2,0,0,2,1968
Don McKenzie,United States,2,0,0,2,1968
Steve Rerych,United States,2,0,0,2,1968
Doug Russell,United States,2,0,0,2,1968
Wyomia Tyus,United States,2,0,0,2,1968
Lee Evans,United States,2,0,0,2,1968
Jim Hines,United States,2,0,0,2,1968
Zinaida Voronina,Russian Federation,1,1,2,4,1968
Ellie Daniel,United States,1,1,1,3,1968
Linda Gustavson,United States,1,1,1,3,1968
Aleksandr Shaparenko,Soviet Union,1,1,0,2,1968
Derek Allhusen,Great Britain,1,1,0,2,1968
Ivan Kizimov,Russian Federation,1,1,0,2,1968
Josef Neckermann,Germany,1,1,0,2,1968
Mogens Frey Jensen,Denmark,1,1,0,2,1968
Mark Rakita,Russian Federation,1,1,0,2,1968
Yukio Endo,Japan,1,1,0,2,1968
András Balczó,Hungary,1,1,0,2,1968
Lyn McClements,Australia,1,1,0,2,1968
Klaus Dibiasi,Italy,1,1,0,2,1968
Don Schollander,United States,1,1,0,2,1968
Đurđica Bjedov,Croatia,1,1,0,2,1968
Mamo Wolde,Ethiopia,1,1,0,2,1968
Kip Keino,Kenya,1,1,0,2,1968
Barbara Ferrell,United States,1,1,0,2,1968
Larry James,United States,1,1,0,2,1968
Lyudmila Khvedosyuk-Pinayeva,Russian Federation,1,0,1,2,1968
Reiner Klimke,Germany,1,0,1,2,1968
Pierfranco Vianelli,Italy,1,0,1,2,1968
Daniel Revenu,France,1,0,1,2,1968
Takeshi Kato,Japan,1,0,1,2,1968
Eizo Kenmotsu,Japan,1,0,1,2,1968
Jane Barkman,United States,1,0,1,2,1968
Sharon Wichman,United States,1,0,1,2,1968
John Nelson,United States,1,0,1,2,1968
Naftali Temu,Kenya,1,0,1,2,1968
Irena Kirszenstein-Szewińska,Poland,1,0,1,2,1968
Mohamad Gammoudi,Tunisia,1,0,1,2,1968
Ron Freeman,United States,1,0,1,2,1968
Charlie Greene,United States,1,0,1,2,1968
Chris Finnegan,Great Britain,1,0,0,1,1968
Manfred Wolke,East Germany,1,0,0,1,1968
Ricardo Delgado,Mexico,1,0,0,1,1968
Antonio Roldán,Mexico,1,0,0,1,1968
Mike Barrett,United States,1,0,0,1,1968
John Clawson,United States,1,0,0,1,1968
Don Dee,United States,1,0,0,1,1968
Cal Fowler,United States,1,0,0,1,1968
Spencer Haywood,United States,1,0,0,1,1968
Bill Hosket,United States,1,0,0,1,1968
Jim King,United States,1,0,0,1,1968
Glynn Saulters,United States,1,0,0,1,1968
Charlie Scott,United States,1,0,0,1,1968
Mike Silliman,United States,1,0,0,1,1968
Ken Spain,United States,1,0,0,1,1968
Jo-Jo White,United States,1,0,0,1,1968
Jerzy Kulej,Poland,1,0,0,1,1968
Boris Lagutin,Russian Federation,1,0,0,1,1968
Danas Pozniakas,Lithuania,1,0,0,1,1968
Valerian Sokolov,Russian Federation,1,0,0,1,1968
George Foreman,United States,1,0,0,1,1968
Ronnie Harris,United States,1,0,0,1,1968
Francisco Rodríguez,Venezuela,1,0,0,1,1968
Roswitha Esser,Germany,1,0,0,1,1968
Annemarie Zimmermann,Germany,1,0,0,1,1968
Mihály Hesz,Hungary,1,0,0,1,1968
Tibor Tatai,Hungary,1,0,0,1,1968
Steinar Amundsen,Norway,1,0,0,1,1968
Tore Berger,Norway,1,0,0,1,1968
Jan Johansen,Norway,1,0,0,1,1968
Egil Søby,Norway,1,0,0,1,1968
Serghei Covaliov,Romania,1,0,0,1,1968
Ivan Patzaichin,Romania,1,0,0,1,1968
Vladimir Morozov,Soviet Union,1,0,0,1,1968
Jane Bullen,Great Britain,1,0,0,1,1968
Liselott Linsenhoff,Germany,1,0,0,1,1968
Jim Day,Canada,1,0,0,1,1968
Jim Elder,Canada,1,0,0,1,1968
Tom Gayford,Canada,1,0,0,1,1968
Jean-Jacques Guyon,France,1,0,0,1,1968
Ben Jones,Great Britain,1,0,0,1,1968
Richard Meade,Great Britain,1,0,0,1,1968
Bill Steinkraus,United States,1,0,0,1,1968
Gunnar Asmussen,Denmark,1,0,0,1,1968
Fedor den Hertog,Netherlands,1,0,0,1,1968
Per Lyngemark,Denmark,1,0,0,1,1968
Jan Krekels,Netherlands,1,0,0,1,1968
Reno Olsen,Denmark,1,0,0,1,1968
Peder Pedersen,Denmark,1,0,0,1,1968
René Pijnen,Netherlands,1,0,0,1,1968
Daniel Rébillard,France,1,0,0,1,1968
Joop Zoetemelk,Netherlands,1,0,0,1,1968
Abdul Rashid,Pakistan,1,0,0,1,1968
Jahangir Butt,Pakistan,1,0,0,1,1968
Tanvir Dar,Pakistan,1,0,0,1,1968
Gulraiz Akhtar,Pakistan,1,0,0,1,1968
Khalid Mahmood,Pakistan,1,0,0,1,1968
Muhammad Asad Malik,Pakistan,1,0,0,1,1968
Ashfaq Ahmed,Pakistan,1,0,0,1,1968
Tariq Niazi,Pakistan,1,0,0,1,1968
Riaz Ahmed,Pakistan,1,0,0,1,1968
Riaz ud-Din,Pakistan,1,0,0,1,1968
Saeed Anwar,Pakistan,1,0,0,1,1968
Tariq Aziz,Pakistan,1,0,0,1,1968
Zakir Hussain,Pakistan,1,0,0,1,1968
Galina Gorokhova,Russian Federation,1,0,0,1,1968
Tatyana Petrenko-Samusenko,Belarus,1,0,0,1,1968
Svetlana Tširkova,Estonia,1,0,0,1,1968
Aleksandra Zabelina,Russian Federation,1,0,0,1,1968
Gilles Berolatti,France,1,0,0,1,1968
Jacques Dimont,France,1,0,0,1,1968
Jean-Claude Magnan,France,1,0,0,1,1968
Christian Noël,France,1,0,0,1,1968
Csaba Fenyvesi,Hungary,1,0,0,1,1968
Pál B. Nagy,Hungary,1,0,0,1,1968
Zoltán Nemere,Hungary,1,0,0,1,1968
Pál Schmitt,Hungary,1,0,0,1,1968
Jerzy Pawłowski,Poland,1,0,0,1,1968
Ion Drîmbă,Romania,1,0,0,1,1968
Umyar Mavlikhanov,Russian Federation,1,0,0,1,1968
Vladimir Nazlymov,Russian Federation,1,0,0,1,1968
Viktor Sidyak,Belarus,1,0,0,1,1968
Eduard Vinokurov,Russian Federation,1,0,0,1,1968
István Básti,Hungary,1,0,0,1,1968
Lajos Dunai,Hungary,1,0,0,1,1968
Antal Dunai,Hungary,1,0,0,1,1968
Károly Fatér,Hungary,1,0,0,1,1968
László Fazekas,Hungary,1,0,0,1,1968
István Juhász,Hungary,1,0,0,1,1968
László Keglovich,Hungary,1,0,0,1,1968
Lajos Kocsis,Hungary,1,0,0,1,1968
Iván Menczel,Hungary,1,0,0,1,1968
László Nagy,Hungary,1,0,0,1,1968
Ernő Noskó,Hungary,1,0,0,1,1968
Dezső Novák,Hungary,1,0,0,1,1968
Miklós Páncsics,Hungary,1,0,0,1,1968
István Sárközi,Hungary,1,0,0,1,1968
Miklós Szalay,Hungary,1,0,0,1,1968
Zoltán Szarka,Hungary,1,0,0,1,1968
Lajos Szűcs,Hungary,1,0,0,1,1968
Lyubov Burda,Russian Federation,1,0,0,1,1968
Olga Karasyova,Russian Federation,1,0,0,1,1968
Lyudmila Turishcheva,Russian Federation,1,0,0,1,1968
Mitsuo Tsukahara,Japan,1,0,0,1,1968
Miroslav Cerar,Slovenia,1,0,0,1,1968
István Móna,Hungary,1,0,0,1,1968
Ferenc Török,Hungary,1,0,0,1,1968
Björn Ferm,Sweden,1,0,0,1,1968
Heinz-Jürgen Bothe,East Germany,1,0,0,1,1968
Frank Forberger,East Germany,1,0,0,1,1968
Dieter Grahn,East Germany,1,0,0,1,1968
Jörg Lucke,East Germany,1,0,0,1,1968
Frank Rühle,East Germany,1,0,0,1,1968
Dieter Schubert,East Germany,1,0,0,1,1968
Roland Böse,West Germany,1,0,0,1,1968
Rüdiger Henning,West Germany,1,0,0,1,1968
Egbert Hirschfelder,Germany,1,0,0,1,1968
Wolfgang Hottenrott,Germany,1,0,0,1,1968
Horst Meyer,Germany,1,0,0,1,1968
Niko Ott,West Germany,1,0,0,1,1968
Dirk Schreyer,West Germany,1,0,0,1,1968
Jörg Siebert,West Germany,1,0,0,1,1968
Gunther Tiersch,West Germany,1,0,0,1,1968
Lutz Ulbricht,West Germany,1,0,0,1,1968
Primo Baran,Italy,1,0,0,1,1968
Bruno Cipolla,Italy,1,0,0,1,1968
Renzo Sambo,Italy,1,0,0,1,1968
Jan Wienese,Netherlands,1,0,0,1,1968
Warren Cole,New Zealand,1,0,0,1,1968
Ross Collinge,New Zealand,1,0,0,1,1968
Simon Dickie,New Zealand,1,0,0,1,1968
Dick Joyce,New Zealand,1,0,0,1,1968
Dudley Storey,New Zealand,1,0,0,1,1968
Anatoly Sass,Russian Federation,1,0,0,1,1968
Aleksandr Timoshinin,Russian Federation,1,0,0,1,1968
Bob Braithwaite,Great Britain,1,0,0,1,1968
Bernd Klingner,Germany,1,0,0,1,1968
Józef Zapędzki,Poland,1,0,0,1,1968
Jan Kůrka,Czech Republic,1,0,0,1,1968
Grigory Kosykh,Russian Federation,1,0,0,1,1968
Yevgeny Petrov,Russian Federation,1,0,0,1,1968
Gary Anderson,United States,1,0,0,1,1968
Felipe Muñoz,Mexico,1,0,0,1,1968
Ada Kok,Netherlands,1,0,0,1,1968
Milena Duchková,Czech Republic,1,0,0,1,1968
Catie Ball,United States,1,0,0,1,1968
